Pop1,Pop2,Fst,Distance,Species
He_Zul,He_Mel,0.02165,400,H.hecale
He_PR,He_Mel,0.20548,1776,H.hecale
He_Cle,He_Mel,0.2731,1900,H.hecale
He_PR,He_Zul,0.21842,2100,H.hecale
He_PR,He_Cle,0.30363,2230,H.hecale
He_Cle,He_Zul,0.28481,2300,H.hecale
