Pop1,Pop2,Fst,Distance,Species
Me_agl,Me_ama,0.04371,30,H.melpomene
Me_FG,Me_ama,0.23822,2900,H.melpomene
Me_agl,Me_FG,0.24425,2930,H.melpomene
