Pop1,Pop2,Fst,Distance,Species
Pa_But,Pa_Ser,0.30574,30,H.pardalinus
Pa_But,Pa_Ssp,0.01561,400,H.pardalinus
Pa_Ser,Pa_Ssp,0.30155,430,H.pardalinus
